CR;XP (Total);XP for each of 1-3 PCs;XP for each of 4-5 PCs;XP for each of 6+ PCs;Slow;Medium;Fast
1/8;50;15;15;10;20;35;50
1/6;65;20;15;10;30;45;65
1/4;100;35;25;15;40;65;100
1/3;135;45;35;25;55;85;135
1/2;200;65;50;35;85;130;200
1;400;135;100;65;170;260;400
2;600;200;150;100;350;550;800
3;800;265;200;135;550;800;1,200
4;1,200;400;300;200;750;1,150;1,700
5;1,600;535;400;265;1,000;1,550;2,300
6;2,400;800;600;400;1,350;2,000;3,000
7;3,200;1,070;800;535;1,750;2,600;3,900
8;4,800;1,600;1,200;800;2,200;3,350;5,000
9;6,400;2,130;1,600;1,070;2,850;4,250;6,400
10;9,600;3,200;2,400;1,600;3,650;5,450;8,200
11;12,800;4,270;3,200;2,130;4,650;7,000;10,500
12;19,200;6,400;4,800;3,200;6,000;9,000;13,500
13;25,600;8,530;6,400;4,270;7,750;11,600;17,500
14;38,400;12,800;9,600;6,400;10,000;15,000;22,000
15;51,200;17,100;12,800;8,530;13,000;19,500;29,000
16;76,800;25,600;19,200;12,800;16,500;25,000;38,000
17;102,400;34,100;25,600;17,100;22,000;32,000;48,000
18;153,600;51,200;38,400;25,600;28,000;41,000;62,000
19;204,800;68,300;51,200;34,100;35,000;53,000;79,000
20;307,200;102,000;76,800;51,200;44,000;67,000;100,000
21;409,600;137,000;102,400;68,300;55,000;84,000;125,000
22;614,400;205,000;153,600;102,400;69,000;104,000;155,000
23;819,200;273,000;204,800;137,000;85,000;127,000;190,000
24;1,228,800;410,000;307,200;204,800;102,000;155,000;230,000
25;1,638,400;546,000;409,600;273,000;125,000;185,000;275,000
26;2,457,600;820,000;614,400;409,600;150,000;220,000;330,000
27;3,276,800;1,092,000;819,200;546,000;175,000;260,000;390,000
28;4,915,200;1,640,000;1,228,800;819,200;205,000;305,000;460,000
29;6,553,600;2,184,000;1,638,400;1,092,000;240,000;360,000;540,000
30;9,830,400;3,280,000;2,457,600;1,638,400;280,000;420,000;630,000
