Character Level;Experience Slow;Experience Medium;Experience Fa;Feats;Ability Score;Weal PC;Weal NPC Basic;Weal NPC Heroic
1;—;—;—;1;—;By Class;260;390
2;3000;2000;1300;—;—;1000;390;780
3;7500;5000;3300;2;—;3000;780;1650
4;14000;9000;6000;—;1;6000;1650;2400
5;23000;15000;10000;3;—;10500;2400;3450
6;35000;23000;15000;—;—;16000;3450;4650
7;53000;35000;23000;4;—;23500;4650;6000
8;77000;51000;34000;—;2;33000;6000;7800
9;115000;75000;50000;5;—;46000;7800;10050
10;160000;105000;71000;—;—;62000;10050;12750
11;235000;155000;105000;6;—;82000;12750;16350
12;330000;220000;145000;—;3;108000;16350;21000
13;475000;315000;210000;7;—;140000;21000;27000
14;665000;445000;295000;—;—;185000;27000;34800
15;955000;635000;425000;8;—;240000;34800;45000
16;1350000;890000;600000;—;4;315000;45000;58500
17;1900000;1300000;850000;9;—;410000;58500;75000
18;2700000;1800000;1200000;—;—;530000;75000;96000
19;3850000;2550000;1700000;10;—;685000;96000;123000
20;5350000;3600000;2400000;—;5;880000;123000;159000
