CR;Total XP;Individual XP 1-3;Individual XP 4-5;Individual XP 6+
1/8;50;15;15;10
1/6;65;20;15;10
1/4;100;35;25;15
1/3;135;45;35;25
1/2;200;65;50;35
1;400;135;100;65
2;600;200;150;100
3;800;265;200;135
4;1200;400;300;200
5;1600;535;400;265
6;2400;800;600;400
7;3200;1070;800;535
8;4800;1600;1200;800
9;6400;2130;1600;1070
10;9600;3200;2400;1600
11;12800;4270;3200;2130
12;19200;6400;4800;3200
13;25600;8530;6400;4270
14;38400;12800;9600;6400
15;51200;17100;12800;8530
16;76800;25600;19200;12800
17;102400;34100;25600;17100
18;153600;51200;38400;25600
19;204800;68300;51200;34100
20;307200;102000;76800;51200
21;409600;137000;102400;68300
22;614400;205000;153600;102400
23;819200;273000;204800;137000
24;1228800;410000;307200;204800
25;1638400;546000;409600;273000
26;2457600;820000;614400;409600
27;3276800;1092000;819200;546000
28;4915200;1640000;1228800;819200
29;6553600;2184000;1638400;1092000
30;9830400;3280000;2457600;1638400
