HD;Fast BAB;Medium BAB;Slow BAB;Good Save;Bad Save;Feats
1;1;0;0;2;0;1
2;2;1;1;3;0;1
3;3;2;1;3;1;2
4;4;3;2;4;1;2
5;5;3;2;4;1;3
6;6;4;3;5;2;3
7;7;5;3;5;2;4
8;8;6;4;6;2;4
9;9;6;4;6;3;5
10;10;7;5;7;3;5
11;11;8;5;7;3;6
12;12;9;6;8;4;6
13;13;9;6;8;4;7
14;14;10;7;9;4;7
15;15;11;7;9;5;8
16;16;12;8;10;5;8
17;17;12;8;10;5;9
18;18;13;9;11;6;9
19;19;14;9;11;6;10
20;20;15;10;12;6;10
21;21;15;10;12;7;11
22;22;16;11;13;7;11
23;23;17;11;13;7;12
24;24;18;12;14;8;12
25;25;18;12;14;8;13
26;26;19;13;15;8;13
27;27;20;13;15;9;14
28;28;21;14;16;9;14
29;29;21;14;16;9;15
30;30;22;15;17;10;15
