CR;Treasure per Encounter Slow;Treasure per Encounter Medium;Treasure per Encounter Fast
1/8;20;35;50
1/6;30;45;65
1/4;40;65;100
1/3;55;85;135
1/2;85;130;200
1;170;260;400
2;350;550;800
3;550;800;1200
4;750;1150;1700
5;1000;1550;2300
6;1350;2000;3000
7;1750;2600;3900
8;2200;3350;5000
9;2850;4250;6400
10;3650;5450;8200
11;4650;7000;10500
12;6000;9000;13500
13;7750;11600;17500
14;10000;15000;22000
15;13000;19500;29000
16;16500;25000;38000
17;22000;32000;48000
18;28000;41000;62000
19;35000;53000;79000
20;44000;67000;100000
21;55000;84000;125000
22;69000;104000;155000
23;85000;127000;190000
24;102000;155000;230000
25;125000;185000;275000
26;150000;220000;330000
27;175000;260000;390000
28;205000;305000;460000
29;240000;360000;540000
30;280000;420000;630000
